shape_k,cv,MD_constrained,MD_unconstrained,gap,sum_err,seed
8.0,0.354,0.03207284309017627,0.04000576277232393,-0.007932919682147654,0.0,0
8.0,0.354,0.02563380580847795,0.03622236191097227,-0.010588556102494321,0.0,1
8.0,0.354,0.02933468087641672,0.03486708564497562,-0.005532404768558902,0.0,2
8.0,0.354,0.03502806568858584,0.03462407835307426,0.00040398733551157834,0.0,3
8.0,0.354,0.03730367674247072,0.04994345722487905,-0.012639780482408332,0.0,4
8.0,0.354,0.028336142794507465,0.04732962159240213,-0.018993478797894665,0.0,5
8.0,0.354,0.0407389780059154,0.03688440198561652,0.003854576020298879,0.0,6
8.0,0.354,0.02102922624638071,0.08088387668661885,-0.05985465044023815,0.0,7
8.0,0.354,0.030461872505442758,0.04594989476579151,-0.015488022260348754,0.0,8
8.0,0.354,0.032210868319361916,0.029693353213449996,0.0025175151059119195,0.0,9
5.0,0.447,0.029990160299676803,0.039570034695616284,-0.009579874395939481,0.0,0
5.0,0.447,0.026182615526774276,0.03238683828700733,-0.006204222760233052,0.0,1
5.0,0.447,0.03037882310336343,0.03543670469637071,-0.005057881593007279,0.0,2
5.0,0.447,0.035214142578024465,0.03531356069551517,-9.941811749070162e-05,0.0,3
5.0,0.447,0.03520735477495169,0.047289666718348326,-0.012082311943396637,0.0,4
5.0,0.447,0.02957570264436305,0.0484517480529194,-0.01887604540855635,0.0,5
5.0,0.447,0.04038185231206124,0.03523841641796966,0.00514343589409158,0.0,6
5.0,0.447,0.02139960500219839,0.08028954747900718,-0.058889942476808795,0.0,7
5.0,0.447,0.029335121320390695,0.04682106557603964,-0.017485944255648946,0.0,8
5.0,0.447,0.029955021760532243,0.029508899408530426,0.00044612235200181677,0.0,9
3.0,0.577,0.02887025636045953,0.04322946703961612,-0.014359210679156593,0.0,0
3.0,0.577,0.026877255372035804,0.03273638447064113,-0.005859129098605326,0.0,1
3.0,0.577,0.031213937312189348,0.037622909563195944,-0.006408972251006596,0.0,2
