task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
saas_mrr_curve,faker,1,True,0.002,0.8190758034303298,0.0,1.0,,51,schema,
saas_mrr_curve,naive_rescale,1,True,0.019,1.8189894035458566e-16,0.0,1.0,,51,schema,
saas_mrr_curve,sdv_gaussian_copula,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_ctgan,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
saas_mrr_curve,sdv_hma,0,False,,,,,,51,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.146,0.0,0.0,1.0,1.0,42,nl,
fintech_volume_curve,faker,1,True,0.002,0.8913663677197123,0.0,1.0,1.0,42,schema,
fintech_volume_curve,naive_rescale,1,True,0.026,1.4551915228366853e-16,0.0,1.0,1.0,42,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,42,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.145,0.0,0.0,1.0,,43,nl,
fintech_volume_curve,faker,1,True,0.002,0.9031565542627196,0.0,1.0,,43,schema,
fintech_volume_curve,naive_rescale,1,True,0.026,0.0,0.0,1.0,,43,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,43,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,misata,1,True,0.145,0.0,0.0,1.0,,44,nl,
fintech_volume_curve,faker,1,True,0.002,0.9003680953914732,0.0,1.0,,44,schema,
fintech_volume_curve,naive_rescale,1,True,0.025,1.4551915228366853e-16,0.0,1.0,,44,schema,
fintech_volume_curve,sdv_gaussian_copula,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_ctgan,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
fintech_volume_curve,sdv_hma,0,False,,,,,,44,,SDV requires source data; task is cold-start (CSC=0)
